trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",30,12,3.7502201536309396,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,3,-34.61946050452212,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",25,0,-76.4625901983456,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,0,-108.82919710455097,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.421334222154768}",25,20,8.963483419693656,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",20,0,-5.372395373137105,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",30,17,-13.651792476732238,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",30,0,-45.060992239746874,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,6,-92.74211124457959,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",20,0,-14.49855914538744,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,0,-85.3727782194822,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",30,14,17.58920049032068,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,2,-13.006930896540307,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,0,-4.020651266328175,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",20,2,-4.118246217225824,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,10,10.756583518180092,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",25,0,-23.562947398170305,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,7,11.805217920324694,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",25,0,-29.19208474348253,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",25,4,-39.79588459122456,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,15,10.457109657487372,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,0,-12.833640119995545,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",30,8,1.5269165374986176,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,12,15.820995792623798,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,3,11.655289110271465,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",20,0,-72.796540379217,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",30,16,-32.535532221734556,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",30,15,8.369113678723066,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,1,-17.573436362714858,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,7,16.701610109963614,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,0,-56.90976652582007,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,14,10.38507265603514,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",30,2,-33.09639338787113,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",30,3,18.259421066009796,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,5,12.59555602715036,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",30,22,3.6887158381047875,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",35,12,17.383102879518365,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",25,13,-1.0230683757713157,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",25,15,-20.852637371758657,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.296386587399208}",20,3,-18.81055728154828,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",25,0,4.27976201686435,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",25,0,-18.7423608844762,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,0,9.677423759677023,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",30,1,17.952631091451444,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,0,5.072574925796377,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",25,0,-27.859941211107834,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",35,4,-3.6740254254481415,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",20,0,0.8138481837728313,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",30,0,-11.344814926318726,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",20,0,-46.20659344498237,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,0,-20.478488436708275,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",25,3,27.031445554283877,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",20,0,28.86601470069212,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,8,-19.362837124830556,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",25,7,26.66378765256553,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",20,12,7.38040516470839,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",30,12,6.436596966627077,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",25,0,-9.212364027488148,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",20,2,6.269017176196243,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,2,-14.012831827323328,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",20,3,-70.82975229350919,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,2,25.497239012344576,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",35,21,27.731025391108613,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",25,0,-11.050296844352765,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,13,3.1338610012455366,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
